image_name,label
113304.jpg,elliptical
103107.jpg,elliptical
101658.jpg,elliptical
10385.jpg,elliptical
10280.jpg,elliptical
111901.jpg,elliptical
115162.jpg,elliptical
107558.jpg,elliptical
110695.jpg,elliptical
100654.jpg,elliptical
103583.jpg,elliptical
103957.jpg,elliptical
109604.jpg,elliptical
103616.jpg,elliptical
110637.jpg,elliptical
111155.jpg,elliptical
113178.jpg,elliptical
111120.jpg,elliptical
106093.jpg,elliptical
101638.jpg,elliptical
110731.jpg,elliptical
101241.jpg,elliptical
102635.jpg,elliptical
100520.jpg,elliptical
101559.jpg,elliptical
103302.jpg,elliptical
105952.jpg,elliptical
109694.jpg,elliptical
108934.jpg,elliptical
105396.jpg,elliptical
102822.jpg,elliptical
114894.jpg,elliptical
108084.jpg,elliptical
102873.jpg,elliptical
106393.jpg,elliptical
11023.jpg,elliptical
114674.jpg,elliptical
112963.jpg,elliptical
102104.jpg,elliptical
115165.jpg,elliptical
108339.jpg,elliptical
10737.jpg,elliptical
101098.jpg,elliptical
10408.jpg,elliptical
113164.jpg,elliptical
11029.jpg,elliptical
100489.jpg,elliptical
101393.jpg,elliptical
101021.jpg,elliptical
112127.jpg,elliptical
111636.jpg,elliptical
109697.jpg,elliptical
107775.jpg,elliptical
106528.jpg,elliptical
108856.jpg,elliptical
110255.jpg,elliptical
106230.jpg,elliptical
115047.jpg,elliptical
100193.jpg,elliptical
110635.jpg,elliptical
106105.jpg,elliptical
115325.jpg,elliptical
111146.jpg,elliptical
109861.jpg,elliptical
108097.jpg,elliptical
108087.jpg,elliptical
108608.jpg,elliptical
102875.jpg,elliptical
102314.jpg,elliptical
113486.jpg,elliptical
100413.jpg,elliptical
114854.jpg,elliptical
106240.jpg,elliptical
115254.jpg,elliptical
109944.jpg,elliptical
104085.jpg,elliptical
112979.jpg,elliptical
107456.jpg,elliptical
10684.jpg,elliptical
11215.jpg,elliptical
106512.jpg,elliptical
107347.jpg,elliptical
103776.jpg,elliptical
112164.jpg,elliptical
107249.jpg,elliptical
100820.jpg,elliptical
102831.jpg,elliptical
11200.jpg,elliptical
100271.jpg,elliptical
106561.jpg,elliptical
105809.jpg,elliptical
109864.jpg,elliptical
109811.jpg,elliptical
109577.jpg,elliptical
106334.jpg,elliptical
107880.jpg,elliptical
107583.jpg,elliptical
115124.jpg,elliptical
